BLOQUE,UE,D,Var,PorcentajeN,grAb/m2,NombreVariedad,NP,R,HM,HSM,AREAF
1,1,2,1,"0,5",492,Penca Ancha,4,"0,4","3,6",,"1139,366"
1,2,4,2,"1,5",1476,Penca Verde,3,"1,43","3,19","8,26","886,853"
1,3,3,1,"1,0",984,Penca Ancha,3,"1,49","2,33","9,25","342,988"
1,4,3,2,"1,0",984,Penca Verde,4,"2,27","2,94","15,06","606,675"
1,5,1,1,"0,0",0,Penca Ancha,4,"2,23","2,99","16,92","434,982"
1,6,2,2,"0,5",492,Penca Verde,5,"5,24","3,69","17,26","767,074"
1,7,4,1,"1,5",1476,Penca Ancha,5,"6,75","2,5","25,54","601,541"
1,8,1,1,"0,0",0,Penca Ancha,4,"2,24","2,73","8,24",0
2,1,2,1,"0,5",492,Penca Ancha,4,"1,99",3,"14,51","437,515"
2,2,1,1,"0,0",0,Penca Ancha,5,"1,92","4,08","13,6","485,227"
2,3,3,1,"1,0",984,Penca Ancha,4,"1,49","2,34","5,94","487,265"
2,4,3,2,"1,0",984,Penca Verde,3,4,"5,15","11,7","433,422"
2,5,1,2,"0,0",0,Penca Verde,4,"1,27","1,46","5,16","260,027"
2,6,4,1,"1,5",1476,Penca Ancha,6,"2,35","3,07","10,7","499,242"
2,7,4,2,"1,5",1476,Penca Verde,3,"5,4","2,48","32,99","448,743"
2,8,2,2,"0,5",492,Penca Verde,4,"2,73","2,96","9,59","583,239"
3,1,1,1,"0,0",0,Penca Ancha,6,"1,98",1,,"74,048"
3,2,4,1,"1,5",1476,Penca Ancha,6,"2,17","2,77","4,62","267,818"
3,3,3,1,"1,0",984,Penca Ancha,4,"4,09","3,59","11,18","322,687"
3,4,2,2,"0,5",492,Penca Verde,5,"3,1","2,04","7,83","129,161"
3,5,3,2,"1,0",984,Penca Verde,4,"2,48","2,25","8,36","330,785"
3,6,4,2,"1,5",1476,Penca Verde,3,"1,26","1,91","14,46","384,617"
3,7,2,1,"0,5",492,Penca Ancha,4,"2,23","5,24","10,97","860,521"
3,8,1,2,"0,0",0,Penca Verde,4,"3,08","2,29","8,05","324,979"
4,1,4,2,"1,5",1476,Penca Verde,3,"1,95","1,96","5,4","227,239"
4,2,1,2,"0,0",0,Penca Verde,3,"0,67","1,47","1,62","171,716"
4,3,2,2,"0,5",492,Penca Verde,4,"1,11","1,3","2,07","185,473"
4,4,1,1,"0,0",0,Penca Ancha,3,"0,63","1,22","2,14","179,627"
4,5,3,2,"1,0",984,Penca Verde,3,"4,75","2,37","10,78","362,909"
4,6,4,1,"1,5",1476,Penca Ancha,3,"1,27","4,38","7,65","570,754"
4,7,3,1,"1,0",984,Penca Ancha,3,"1,8","4,77","8,53","736,778"
4,8,2,1,"0,5",492,Penca Ancha,6,"2,09","2,22","4,46","379,984"
