Bloque,UE,Dosis,Variedad,HSM,HM,R,PesoPA,PesoT,Pn,GrM2,NombreV,AS,PTM2
1,1,4,1,"36,5","5,8","15,54","42,3","57,84","1,5",1282,Penca Ancha,"762,683","308,48"
1,2,4,2,"22,5","5,79","14,18","28,29","42,47","1,5",1282,Penca Verde,"859,16","226,5066667"
1,3,3,1,"31,5","3,61","7,61","35,11","42,72",1,854,Penca Ancha,"573,587","227,84"
1,4,3,2,"22,94","2,64","11,55","25,58","37,13",1,854,Penca Verde,"394,101","198,0266667"
1,5,1,2,"19,76","2,34","8,11","22,1","30,21",0,0,Penca Verde,"377,251","161,12"
1,6,2,2,"8,74","1,82","8,53","10,56","19,09","0,5",427,Penca Verde,"320,493","101,8133333"
1,7,2,1,"16,58","2,32","5,06","18,9","23,96","0,5",427,Penca Ancha,"363,374","127,7866667"
1,8,1,1,"12,17","2,8","4,4","14,97","19,37",0,0,Penca Ancha,"379,629","103,3066667"
2,1,2,1,"22,73","8,19","11,86","30,92","42,78","0,5",427,Penca Ancha,"1195,712","228,16"
2,2,1,1,"25,24","16,7","16,54","41,94","58,48",0,0,Penca Ancha,"1089,784","311,8933333"
2,3,3,1,"32,54","4,78","12,23","37,32","49,55",1,854,Penca Ancha,"1630,072","264,2666667"
2,4,3,2,"28,84","6,2","21,52","35,04","56,56",1,854,Penca Verde,"1157,254","301,6533333"
2,5,1,2,"38,71","8,81","28,95","47,52","76,47",0,0,Penca Verde,"1121,922","407,84"
2,6,4,1,"24,44","6,48","9,49","30,92","40,41","1,5",1282,Penca Ancha,"1066,585","215,52"
2,7,4,2,"25,12","4,77","9,89","29,89","39,78","1,5",1282,Penca Verde,"700,571","212,16"
2,8,2,2,"27,8","3,51","14,11","31,31","45,42","0,5",427,Penca Verde,"573,759","242,24"
3,1,1,1,"33,8","9,34","13,26","43,14","56,4",0,0,Penca Ancha,"1259,199","300,8"
3,2,4,1,"25,88","7,69","11,02","33,57","44,59","1,5",1282,Penca Ancha,"1240,757","237,8133333"
3,3,3,1,"49,21",9,"12,6","58,21","70,81",1,854,Penca Ancha,"1298,019","377,6533333"
3,4,2,2,"32,7","2,88","21,9","35,58","57,48","0,5",427,Penca Verde,"460,671","306,56"
3,5,3,2,"25,8","3,45","10,84","29,25","40,09",1,854,Penca Verde,"647,679","213,8133333"
3,6,4,2,"36,66","5,13","18,55","41,79","60,34","1,5",1282,Penca Verde,"829,741","321,8133333"
3,7,2,1,"39,32","4,52","14,42","43,84","58,26","0,5",427,Penca Ancha,"846,657","310,72"
3,8,1,2,"16,42","3,51","4,67","19,93","24,6",0,0,Penca Verde,"487,407","131,2"
4,1,4,2,"16,37","2,74","7,52","19,11","26,63","1,5",1282,Penca Verde,"428,42","142,0266667"
4,2,1,2,"20,53","3,07","6,82","23,6","30,42",0,0,Penca Verde,"529,724","162,24"
4,3,2,2,"35,05","3,06","9,24","38,11","47,35","0,5",427,Penca Verde,"462,673","252,5333333"
4,4,1,1,"18,56","3,36","13,36","21,92","35,28",0,0,Penca Ancha,"561,444","188,16"
4,5,3,2,"15,88","2,89","9,71","18,77","28,48",1,854,Penca Verde,"523,662","151,8933333"
4,6,4,1,"17,95","2,21","4,52","20,16","24,68","1,5",1282,Penca Ancha,"466,709","131,6266667"
4,7,3,1,"14,3","1,82","3,9","16,12","20,02",1,854,Penca Ancha,"383,458","106,7733333"
4,8,2,1,"12,2","1,91","3,14","14,11","17,25","0,5",427,Penca Ancha,"385,89",92
