Bloque,UE,Dosis,Variedad,HM,HSM,Raices,Roseta,PesoPA,PesoT,Pn,GrM2,NombreV,AS,PM2
1,1,4,1,"1,42","1,28","0,58",0,"2,7","3,28","1,5",1282,Penca Ancha,"286,329","17,49333333"
1,2,4,2,"1,5","2,34","0,43",0,"3,84","4,27","1,5",1282,Penca Verde,"334,233","22,77333333"
1,3,3,1,"3,62","2,94","0,67",0,"6,56","7,23",1,854,Penca Ancha,"606,825","38,56"
1,4,3,2,"1,42","4,06","0,76",0,"5,48","6,24",1,854,Penca Verde,"352,386","33,28"
1,5,1,2,"1,27","1,55","0,41",0,"2,82","3,23",0,0,Penca Verde,"119,131","17,22666667"
1,6,2,2,2,"3,23","0,73",0,"5,23","5,96","0,5",427,Penca Verde,"450,175","31,78666667"
1,7,2,1,"0,81","1,64","0,33",0,"2,45","2,78","0,5",427,Penca Ancha,"158,357","14,82666667"
1,8,1,1,"0,53","1,63","0,26",0,"2,16","2,42",0,0,Penca Ancha,"143,058","12,90666667"
2,1,2,1,"1,09","3,56","0,79",0,"4,65","5,44","0,5",427,Penca Ancha,"179,569","29,01333333"
2,2,1,1,"1,47","6,6","1,57",0,"8,07","9,64",0,0,Penca Ancha,"221,63","51,41333333"
2,3,3,1,"1,65","6,68","1,06",0,"8,33","9,39",1,854,Penca Ancha,"266,051","50,08"
2,4,3,2,"1,47","8,96","1,74",0,"10,43","12,17",1,854,Penca Verde,"227,215","64,90666667"
2,5,1,2,"1,83","11,39","1,95",0,"13,22","15,17",0,0,Penca Verde,"320,888","80,90666667"
2,6,4,1,"0,61","2,34","0,4",0,"2,95","3,35","1,5",1282,Penca Ancha,"160,81","17,86666667"
2,7,4,2,"1,28","5,64","1,37",0,"6,92","8,29","1,5",1282,Penca Verde,"267,545","44,21333333"
2,8,2,2,2,"8,12","2,3",0,"10,12","12,42","0,5",427,Penca Verde,"305,015","66,24"
3,1,1,1,"1,03","2,99","0,59",0,"4,02","4,61",0,0,Penca Ancha,"231,772","24,58666667"
3,2,4,1,"2,42","6,59","0,98",0,"9,01","9,99","1,5",1282,Penca Ancha,"460,125","53,28"
3,3,3,1,"1,94","4,09","0,81",0,"6,03","6,84",1,854,Penca Ancha,"342,917","36,48"
3,4,2,2,6,"10,69","3,49",0,"16,69","20,18","0,5",427,Penca Verde,"1059,381","107,6266667"
3,5,3,2,"2,36","7,24","1,84",0,"9,6","11,44",1,854,Penca Verde,"743,245","61,01333333"
3,6,4,2,"1,9","5,65","1,16","1,27","8,82","9,98","1,5",1282,Penca Verde,"402,182","53,22666667"
3,7,2,1,"1,77","5,13","1,74",0,"6,9","8,64","0,5",427,Penca Ancha,"285,714","46,08"
3,8,1,2,"2,99","7,35","1,2",0,"10,34","11,54",0,0,Penca Verde,"584,617","61,54666667"
4,1,4,2,"1,09",6,"0,97",0,"7,09","8,06","1,5",1282,Penca Verde,"212,113","42,98666667"
4,2,1,2,"0,85","3,5","0,74",0,"4,35","5,09",0,0,Penca Verde,"175,53","27,14666667"
4,3,2,2,"1,34","1,98","0,45",0,"3,32","3,77","0,5",427,Penca Verde,"367,578","20,10666667"
4,4,1,1,"1,05","2,96","1,09",0,"4,01","5,1",0,0,Penca Ancha,"176,695","27,2"
4,5,3,2,"0,63","0,77","0,28",0,"1,4","1,68",1,854,Penca Verde,"140,992","8,96"
4,6,4,1,"1,07","3,65","0,56",0,"4,72","5,28","1,5",1282,Penca Ancha,"204,954","28,16"
4,7,3,1,"0,67","1,51","0,47",0,"2,18","2,65",1,854,Penca Ancha,"283,947","14,13333333"
4,8,2,1,"0,89","2,64","0,65",0,"3,53","4,18","0,5",427,Penca Ancha,"171,689","22,29333333"
