Bloque,UE,Dosis,Var,Pn,GrM2,NombreV,NP,R,HM,HSM,PesoT,PesoPA,AS
1,1,4,2,"1,5",1476,Penca Verde,5,"1,83","1,83","4,16","7,82","5,99","385,236"
1,2,2,2,"0,5",492,Penca Verde,4,"2,49","2,23","8,72","13,44","10,95","661,263"
1,3,3,2,"1,0",984,Penca Verde,3,"1,86","3,46","6,31","11,63","9,77","828,831"
1,4,3,1,"1,0",984,Penca Ancha,6,"0,41","1,15","2,92","4,48","4,07","310,213"
1,5,1,2,"0,0",0,Penca Verde,6,"2,17","2,44","6,34","10,95","8,78","534,336"
1,6,4,1,"1,5",1476,Penca Ancha,5,"0,73","0,59","1,61","2,93","2,2","153,75"
1,7,2,1,"0,5",492,Penca Ancha,3,"0,92","2,04","3,75","6,71","5,79","415,608"
1,8,1,1,"0,0",0,Penca Ancha,4,"0,5","0,36","2,07","2,93","2,43","237,851"
2,1,2,1,"0,5",492,Penca Ancha,3,"1,13","2,43","4,62","8,18","7,05","491,768"
2,2,1,1,"0,0",0,Penca Ancha,3,"0,85","1,94","2,67","5,46","4,61","397,958"
2,3,3,1,"1,0",984,Penca Ancha,3,"1,02","2,83","3,87","7,72","6,7","507,968"
2,4,3,2,"1,0",984,Penca Verde,5,"2,6","3,35","12,08","18,03","15,43","633,722"
2,5,1,2,"0,0",0,Penca Verde,3,"1,62","2,98","3,78","8,38","6,76","634,637"
2,6,4,1,"1,5",1476,Penca Ancha,5,"1,78","3,02","8,87","13,67","11,89","601,585"
2,7,4,2,"1,5",1476,Penca Verde,5,"2,26","3,16",0,"5,42","3,16","681,085"
2,8,2,2,"0,5",492,Penca Verde,4,"2,85","3,61","9,68","16,14","13,29","688,655"
3,1,1,1,"0,0",0,Penca Ancha,5,"0,69","1,33","2,09","4,11","3,42","301,233"
3,2,4,1,"1,5",1476,Penca Ancha,4,"0,67","1,42","1,99","4,08","3,41","385,204"
3,3,3,1,"1,0",984,Penca Ancha,5,"1,31","2,22","4,4","7,93","6,62","561,178"
3,4,2,2,"0,5",492,Penca Verde,5,"1,41","1,1","2,85","5,36","3,95","297,95"
3,5,3,2,"1,0",984,Penca Verde,4,"2,75","3,07","9,65","15,47","12,72","865,969"
3,6,4,2,"1,5",1476,Penca Verde,5,"3,11","3,33","6,87","13,31","10,2","646,366"
3,7,2,1,"0,5",492,Penca Ancha,4,"0,94","1,4","8,29","10,63","9,69","341,223"
3,8,1,2,"0,0",0,Penca Verde,6,"1,93","1,76","5,79","9,48","7,55","521,155"
4,1,4,2,"1,5",1476,Penca Verde,8,"2,47","3,18","5,76","11,41","8,94","773,809"
4,2,1,2,"0,0",0,Penca Verde,5,"1,43","1,52","3,49","6,44","5,01","346,603"
4,3,2,2,"0,5",492,Penca Verde,5,"2,26","2,57","5,06","9,89","7,63","617,908"
4,4,1,1,"0,0",0,Penca Ancha,4,"0,46","1,11","0,69","2,26","1,8","263,996"
4,5,3,2,"1,0",984,Penca Verde,4,"1,78","2,78","2,76","7,32","5,54","322,028"
4,6,4,1,"1,5",1476,Penca Ancha,3,"1,06","2,08","4,39","7,53","6,47","551,183"
4,7,3,1,"1,0",984,Penca Ancha,5,"0,74","1,33","2,56","4,63","3,89","290,796"
4,8,2,1,"0,5",492,Penca Ancha,4,"0,7","0,9","2,53","4,13","3,43","202,286"
