Medicion,dosis,variedad ,Talhão,N%,P%,K%,Ca%,Mg%
PRIMERA ,1,1,A1,"4,12","0,39","9,78","1,16","0,74"
PRIMERA ,1,2,A2,"4,56","0,34","10,08","1,18","1,10"
PRIMERA ,2,1,A3,"4,26","0,36","10,68","1,05","0,96"
PRIMERA ,2,2,A4,"4,44","0,32","10,08","1,17","1,03"
PRIMERA ,3,1,A5,"4,22","0,39","10,08","1,21","1,06"
PRIMERA ,3,2,A6,"4,12","0,35","9,78","1,12","0,89"
PRIMERA ,4,1,A7,"4,69","0,41","10,68","1,08","1,10"
PRIMERA ,4,2,A8,"4,22","0,34","9,48","0,98","0,96"
SEGUNDA,1,1,A9,"3,39","0,68","10,98","0,90","0,98"
SEGUNDA,1,2,A10,"3,54","0,45","9,78","0,86","0,84"
SEGUNDA,2,1,A11,"3,72","0,33","12,48","0,96","0,61"
SEGUNDA,2,2,A12,"3,58","0,36","11,28","0,95","1,01"
SEGUNDA,3,1,A13,"3,54","0,46","11,28","1,08","0,61"
SEGUNDA,3,2,A14,"3,42","0,48","10,68","0,91","0,96"
SEGUNDA,4,1,A15,"3,36","0,49","12,48","1,09","0,98"
SEGUNDA,4,2,A16,"3,25","0,36","10,38","0,87","0,99"
TERCERA,1,1,A17,"3,41","0,52","10,08","1,38","1,06"
TERCERA,1,2,A18,"3,05","0,35","6,43","1,09","0,94"
TERCERA,2,1,A19,"3,66","0,57","9,78","1,12","0,96"
TERCERA,2,2,A20,"3,16","0,34","9,27","1,17","1,11"
TERCERA,3,1,A21,"3,50","0,47","9,01","1,25","0,93"
TERCERA,3,2,A22,"3,22","0,48","8,49","1,08","1,02"
TERCERA,4,1,A23,"3,01","0,38","9,01","1,15","0,88"
TERCERA,4,2,A24,"3,36","0,47","8,75","1,15","1,15"
CUARTA,1,1,A25,"2,58","0,35","7,20","0,84","0,75"
CUARTA,1,2,A26,"2,38","0,23","6,69","0,86","0,90"
CUARTA,2,1,A27,"3,02","0,32","7,46","1,07","0,87"
CUARTA,2,2,A28,"2,64","0,24","6,69","0,84","0,82"
CUARTA,3,1,A29,"2,71","0,29","6,95","1,00","0,81"
CUARTA,3,2,A30,"2,43","0,31","5,40","1,04","0,87"
CUARTA,4,1,A31,"2,83","0,43","8,49","0,90","0,66"
CUARTA,4,2,A32,"2,66","0,38","6,69","1,00","1,01"
